email,ingredient,status
jo@gmail.com,Whipped Cream,Available
jo@gmail.com,Ginger,Available
jo@gmail.com,Honey,Available
jo@gmail.com,Turmeric,Available
jo@gmail.com,Dark Chocolate,Available
jas@gmail.com,rice,Available
jas@gmail.com,jaggery,Available
jas@gmail.com,coconut,Unavailable
jas@gmail.com,Carrot,Available
jas@gmail.com,Dark Chocolate,Available
tejas@gmail.com,tomatoes,Unavailable
tejas@gmail.com,onion,Unavailable
tejas@gmail.com,butter,Unavailable
tejas@gmail.com,fish,Available
tejas@gmail.com,mutton,Available
tejas@gmail.com,chicken,Available
tejas@gmail.com,Turmeric,Available
tejas@gmail.com,peanuts,Available
tejas@gmail.com,jaggery,Unavailable
tejas@gmail.com,spinach,Unavailable
tejas@gmail.com,garlic,Unavailable
tejas@gmail.com,spices,Unavailable
nithya@gmail.com,coconut,Available
nithya@gmail.com,apple,Available
nithya@gmail.com,mango,Available
nithya@gmail.com,chicken,Available
nithya@gmail.com,mutton,Available
nithya@gmail.com,fish,Unavailable
nithya@gmail.com,jaggery,Available
nithya@gmail.com,peanuts,Available
tejas@gmail.com,rice,Available
tejas@gmail.com,crab,Available
